time,Power
2016-01-08,2199.2026357224
2016-01-09,2089.3113997173
2016-01-10,1942.4784208401002
2016-01-11,1935.4007011086
2016-01-12,1736.6025096486
2016-01-13,2347.9026782013
2016-01-14,1833.1860427056001
2016-01-15,1223.0578683675
2016-01-16,2058.9616153854
2016-01-17,2311.3419555204
2016-01-18,1820.9970518157002
2016-01-19,1720.9977689817001
2016-01-20,1322.1761204718
2016-01-21,542.3487426819
2016-01-22,1407.1924299114
2016-01-23,1347.3751798287
2016-01-24,685.3638612546
2016-01-25,452.1944118879
2016-01-26,1637.0693867682
2016-01-27,2158.4467383039
2016-01-28,1636.7117383683
2016-01-29,1056.7724414247
2016-01-30,2208.7762885683
2016-01-31,2664.9100225935003
2016-02-01,2723.301780606
2016-02-02,2803.0776914745
2016-02-03,2678.7788248419
2016-02-04,2958.4088178678003
2016-02-05,2777.8242275289003
2016-02-06,2806.1029189908
2016-02-07,2449.7575442901
2016-02-08,2526.8910246459
2016-02-09,2478.4048982979
2016-02-10,2540.8403036676
2016-02-11,2545.7033413053
2016-02-12,2576.5959849498004
2016-02-13,2732.6815754436
2016-02-14,2692.8608934744
2016-02-15,2775.8732711787
2016-02-16,3063.5744677461003
2016-02-17,3065.3311728501003
2016-02-18,2969.4005209935003
2016-02-19,1377.2575231074
2016-02-20,3295.8581169987
2016-02-21,3308.285615877
2016-02-22,3324.2644541799
2016-02-23,3437.4341423268
2016-02-24,3538.1715198489
2016-02-25,3187.7743430808
2016-02-26,2958.2879628258
2016-02-27,2953.5030803223003
2016-02-28,2977.4707068645002
2016-02-29,2581.8077068839
2016-03-01,2567.9570431284
2016-03-02,2600.6825293119
2016-03-03,2925.2657806614
2016-03-04,2091.5689924404
2016-03-05,2447.1110122767
2016-03-06,1749.2484201093
2016-03-07,3331.1234315997
2016-03-08,3405.4312020894004
2016-03-09,3263.1245774424006
2016-03-10,2811.4893973287003
2016-03-11,2536.6089712986
2016-03-12,1931.7347333262003
2016-03-13,2859.7931533116002
2016-03-14,3497.4182334168004
2016-03-15,3027.0962529324
2016-03-16,2486.3374417563
2016-03-17,2817.2904023187
2016-03-18,3615.4678319496
2016-03-19,3100.6638643167
2016-03-20,3849.6687585939003
2016-03-21,3963.7049020767004
2016-03-22,3951.1989311652
2016-03-23,3761.4374128584
2016-03-24,2608.014631167
2016-03-25,1781.3985210549001
2016-03-26,4182.8770507887
2016-03-27,4014.0834685578
2016-03-28,3579.2563717152
2016-03-29,3856.1655665214003
2016-03-30,3666.585065715
2016-03-31,2640.4809744456
2016-04-01,3504.3156452403
2016-04-02,3496.8069157527
2016-04-03,1757.7721304847
2016-04-04,4055.7278134494004
2016-04-05,2697.4772979858
2016-04-06,4181.4286783929
2016-04-07,4182.4016567685
2016-04-08,2852.6695370217
2016-04-09,3744.4244695209
2016-04-10,1631.1736961685
2016-04-11,4502.3297056947
2016-04-12,4478.214367845901
2016-04-13,4434.0477268923005
2016-04-14,4012.1471136285
2016-04-15,3597.4491954786
2016-04-16,3928.0454809893004
2016-04-17,1632.5908312527001
2016-04-18,3977.8009112160003
2016-04-19,4043.6407078749003
2016-04-20,4304.969085384
2016-04-21,3758.327912097
2016-04-22,4687.8596141553
2016-04-23,4737.3876999504
2016-04-24,4521.8866047597
2016-04-25,4142.639265048901
2016-04-26,4097.762444724301
2016-04-27,4241.6639841411
2016-04-28,4187.4163420122
2016-04-29,4227.5151200601
2016-04-30,4334.6934440568
2016-05-01,4379.2767116901005
2016-05-02,3047.7478033629
2016-05-03,3710.8112952240003
2016-05-04,3943.7415591354
2016-05-05,2945.3687231661
2016-05-06,4289.9050701342
2016-05-07,4296.0570655959
2016-05-08,4181.024724624001
2016-05-09,3964.5807230304003
2016-05-10,3845.4185023452
2016-05-11,3793.7448524151
2016-05-12,3170.7805746375
2016-05-13,4719.5399819205
2016-05-14,3811.2949815929996
2016-05-15,4502.003290686001
2016-05-16,4425.442663752
2016-05-17,4654.3337978049
2016-05-18,4680.3046793778
2016-05-19,4499.0554081968
2016-05-20,4224.4531637319005
2016-05-21,4630.3501492413
2016-05-22,4355.54180325
2016-05-23,3961.8926040672
2016-05-24,4279.0778219079
2016-05-25,4322.032150382101
2016-05-26,3940.6868711199004
2016-05-27,2510.8731731358002
2016-05-28,4264.0875650637
2016-05-29,4274.4043625085005
2016-05-30,3379.5697888656
2016-05-31,3892.674891996
2016-06-01,4372.7037750396
2016-06-02,4170.5649834057
2016-06-03,4356.3369731904
2016-06-04,4556.0955652938
2016-06-05,4541.6554445691
2016-06-06,4475.3706546318
2016-06-07,4268.5912551348
2016-06-08,4524.067661582701
2016-06-09,4124.1203061498
2016-06-10,4351.0255704036
2016-06-11,3186.2984609115
2016-06-12,4041.7260514884
2016-06-13,4053.5656658046
2016-06-14,4415.438166569101
2016-06-15,4375.9937499993
2016-06-16,3944.7888862635004
2016-06-17,3337.8600802338
2016-06-18,3936.4486691211
2016-06-19,4067.0338914909003
2016-06-20,3940.3934023905003
2016-06-21,3822.8901478614002
2016-06-22,3336.2294501844003
2016-06-23,3655.5927063579
2016-06-24,4009.9028224959
2016-06-25,4345.5043621836
2016-06-26,4303.0424296332
2016-06-27,3533.2012585089
2016-06-28,3380.5770792354
2016-06-29,3953.4868639728
2016-06-30,3724.9163450235
2016-07-01,4160.9806652205
2016-07-02,4141.891121940001
2016-07-03,3450.1911068295003
2016-07-04,3944.6656107012
2016-07-05,4345.2628416945
2016-07-06,3626.9798219226004
2016-07-07,3360.5404476831
2016-07-08,4105.6191914958
2016-07-09,2624.9731203663
2016-07-10,4158.2302245297005
2016-07-11,3473.3568226302
2016-07-12,2862.4417145676002
2016-07-13,4043.165411538
2016-07-14,3979.9712426958004
2016-07-15,4058.9016023457
2016-07-16,3850.5414895101003
2016-07-17,3368.8500422544003
2016-07-18,3368.8394841816003
2016-07-19,4085.4289601961
2016-07-20,4361.9771754603
2016-07-21,4354.8617018412
2016-07-22,4396.2152514984
2016-07-23,4276.6725861585
2016-07-24,3509.8483891284
2016-07-25,4398.934233701701
2016-07-26,4217.1740898606
2016-07-27,3951.6323027445
2016-07-28,2943.1650642570003
2016-07-29,4085.7273738567
2016-07-30,3017.6975346507
2016-07-31,3798.386997075
2016-08-01,2532.5410043934003
2016-08-02,3598.0434600561002
2016-08-03,2941.4275807653003
2016-08-04,1744.9584074109
2016-08-05,3934.9816763499
2016-08-06,4280.643622153801
2016-08-07,3603.3767501094003
2016-08-08,2322.5009736951
2016-08-09,3189.4070569317005
2016-08-10,3527.7804798291
2016-08-11,3235.2939196380003
2016-08-12,3312.5560101315
2016-08-13,3960.58775904
2016-08-14,4099.6908280647
2016-08-15,3653.2083246318
2016-08-16,4123.5842795499
2016-08-17,4083.0775810506
2016-08-18,3353.2269206832
2016-08-19,3556.4775990678
2016-08-20,3802.5422480925
2016-08-21,3951.8741780298
2016-08-22,3559.4390078082
2016-08-23,3818.7282891186
2016-08-24,3660.4071456282
2016-08-25,3680.4759222825005
2016-08-26,3065.0278777470003
2016-08-27,2678.2209509418
2016-08-28,3492.977999049
2016-08-29,3870.8372995776003
2016-08-30,4133.6013339918
2016-08-31,3717.2459114505004
2016-09-01,3802.4661170826002
2016-09-02,3984.5176390998004
2016-09-03,3847.352250753
2016-09-04,4089.5322995637002
2016-09-05,3927.2829454386
2016-09-06,3782.9577175038003
2016-09-07,3792.9851618769003
